Date,QQQ,UUP,FXE,FXY,FXNAX,SEGA.MI
6/1/2011,51.491901,20.727526,142.59111,122,8.757131,100.5
6/6/2011,50.409565,20.494961,144.827682,123.150002,8.726885,100.610001
6/7/2011,50.319382,20.378677,146.015854,123.349998,8.734442,100.260002
6/15/2011,48.966438,20.931023,140.943649,121.779999,8.726885,100.32
7/1/2011,52.348618,20.543413,144.574188,122.080002,8.658822,98.739998
7/5/2011,52.610764,20.620935,143.515427,121.709999,8.681505,98.75
7/6/2011,52.782513,20.746908,142.386703,121.879997,8.689073,98.529999
7/11/2011,52.393803,21.037615,139.410126,122.839996,8.742009,98.169998
7/12/2011,51.996071,21.027927,139.030563,124.25,8.74957,98.330002
7/14/2011,51.607349,20.805048,140.608749,124.629997,8.726885,98.019997
7/15/2011,52.294369,20.766289,140.788544,124.769997,8.734442,97.959999
7/19/2011,53.198326,20.766289,140.698639,124.5,8.742009,98.029999
7/20/2011,52.97234,20.669386,141.557663,125.239998,8.726885,98.139999
7/22/2011,53.876308,20.475578,142.986023,125.769997,8.719315,98.669998
7/25/2011,53.767841,20.4562,143.03595,125.940002,8.704193,98.25
7/26/2011,53.903435,20.281775,144.444351,126.589996,8.719315,98.379997
8/1/2011,52.18589,20.485268,141.878967,127.870003,8.79494,98.660004
8/2/2011,50.866112,20.514341,141.409393,127.949997,8.840312,98.639999
8/4/2011,48.967773,20.737215,140.5401,124.699997,8.893251,98.870003
8/5/2011,48.660431,20.56279,142.128769,125.709999,8.832748,99.260002
8/18/2011,46.057007,20.427128,142.708252,128.809998,8.938627,102.449997
8/19/2011,45.225365,20.378677,143.277786,128.919998,8.938627,102.449997
8/22/2011,45.388092,20.417439,142.988037,128.440002,8.923499,102.419998
8/23/2011,47.259285,20.330225,143.767365,128.589996,8.893251,102.339996
8/24/2011,47.629917,20.368986,143.527542,128.059998,8.840312,101.959999
8/25/2011,46.852505,20.427128,143.197845,127.239998,8.863001,102.059998
8/26/2011,48.027664,20.310844,144.306885,128.600006,8.878128,102.199997
8/29/2011,49.365524,20.281775,144.466751,128.380005,8.855444,101.860001
8/30/2011,49.690956,20.359297,143.867279,128.610001,8.88569,102.160004
8/31/2011,49.77232,20.417439,142.998016,128.770004,8.901611,101.779999
9/1/2011,49.320324,20.50465,142.057617,128.380005,8.939524,101.849998
