"","QQQ.Adjusted","FEZ.Adjusted","AIA.Adjusted","VNQ.Adjusted","IQQP.DE.Adjusted","UUP.Adjusted","FXE.Adjusted","FXY.Adjusted","FXNAX.Adjusted","SEGA.MI.Adjusted"
"1",51.491875,28.881094,38.479397,40.153431,28.41,20.727526,142.59111,122,8.791382,100.5
"2",50.409565,28.78083,37.920219,39.434513,28.01,20.494959,144.827698,123.150002,8.761011,100.610001
"3",50.31937,29.196177,38.21579,39.850029,27.85,20.378677,146.015869,123.349998,8.768598,100.260002
"4",48.966465,27.72813,36.897728,38.425411,27.799999,20.931025,140.943634,121.779999,8.761011,100.32
"5",52.348602,30.333652,38.186218,40.661823,28.08,20.543413,144.574203,122.080002,8.692683,98.739998
"6",52.61076,29.737003,38.218491,40.974438,28.209999,20.620934,143.515411,121.709999,8.71546,98.75
"7",52.782524,29.368689,38.040989,41.280434,28.17,20.746908,142.386688,121.879997,8.723046,98.529999
"8",52.39381,27.350382,37.193844,41.021004,27.459999,21.037617,139.410126,122.839996,8.776197,98.169998
"9",51.996059,27.070459,36.750099,41.160698,27.26,21.027927,139.030563,124.25,8.783781,98.330002
"10",51.607346,27.36512,36.984077,40.375797,27.16,20.80505,140.608765,124.629997,8.761011,98.019997
"11",52.294361,27.357746,37.105103,40.821465,27.18,20.766287,140.788528,124.769997,8.768598,97.959999
"12",53.198338,27.313549,37.193844,41.187294,26.67,20.766287,140.698639,124.5,8.776197,98.029999
"13",52.97234,27.843906,37.492363,41.486626,26.809999,20.669386,141.557648,125.239998,8.761011,98.139999
"14",53.876308,28.794134,38.024853,42.025414,27.360001,20.475578,142.986023,125.769997,8.753416,98.669998
"15",53.76783,28.455307,37.807011,41.632977,27.58,20.4562,143.03595,125.940002,8.738236,98.25
"16",53.903435,28.683645,38.081329,41.726089,27.440001,20.281773,144.444351,126.589996,8.753416,98.379997
"17",52.185898,26.827385,37.653725,39.98999,26.85,20.48527,141.878983,127.870003,8.829332,98.660004
"18",50.866112,25.92135,36.580677,38.712872,26.48,20.514341,141.409378,127.949997,8.874889,98.639999
"19",48.967781,24.057728,34.603989,36.517807,25.1,20.737217,140.540115,124.699997,8.928031,98.870003
"20",48.660435,25.052145,34.168324,35.606525,23.9,20.562792,142.128754,125.709999,8.867291,99.260002
"21",46.057014,22.879148,31.610733,36.085457,23.82,20.427128,142.708267,128.809998,8.973576,102.449997
"22",45.225372,22.297224,31.336422,35.393681,23.620001,20.378677,143.277771,128.919998,8.973576,102.449997
"23",45.388084,22.628698,31.659138,35.433578,23.969999,20.417437,142.988037,128.440002,8.9584,102.419998
"24",47.259293,23.505266,32.853218,36.30497,24.16,20.330223,143.767365,128.589996,8.928031,102.339996
"25",47.629906,23.630495,32.514355,36.783882,24.34,20.368988,143.527557,128.059998,8.874889,101.959999
"26",46.852505,22.960176,31.93346,36.098755,24.309999,20.427128,143.197845,127.239998,8.897664,102.059998
"27",48.027668,23.151695,32.498226,36.537762,24.139999,20.310843,144.3069,128.600006,8.912844,102.199997
"28",49.365543,23.814642,33.458321,37.788292,24.450001,20.281773,144.466751,128.380005,8.890073,101.860001
"29",49.69096,23.586296,33.450249,37.894703,24.809999,20.359297,143.867279,128.610001,8.920437,102.160004
"30",49.772305,24.057728,34.13604,38.320423,25.370001,20.417437,142.998016,128.770004,8.93642,101.779999
"31",49.320328,23.601027,33.942406,37.768326,25.540001,20.504652,142.057617,128.380005,8.974484,101.849998
"32",48.16325,22.672899,33.22435,36.87701,25.27,20.562792,141.298126,128.320007,9.004929,101.989998
"33",48.172298,21.494318,33.030716,36.717377,24.139999,20.882572,139.369385,126.919998,9.004929,101.93
"34",49.392647,22.127802,34.127968,38.100922,24.58,20.766287,140.408691,127.57,8.989706,102.330002
"35",49.166656,21.619547,33.393776,37.808235,24.65,20.979475,138.250107,127.25,8.997315,102.510002
"36",48.072853,20.433594,32.296516,36.624241,24.700001,21.231422,136.001572,127.230003,9.020153,102.650002
"37",48.687553,20.050554,32.344929,36.743973,23.389999,21.241112,136.04155,127.559998,8.997315,102.150002
"38",49.338409,20.418873,32.336864,36.830437,23.02,21.173281,136.33136,128.229996,8.982099,101.879997
"39",50.043491,21.074448,32.272316,37.069897,22.889999,21.115139,136.901001,128.639999,8.982099,101.709999
"40",50.784756,21.921556,32.603104,37.681854,23.360001,20.989166,138.260101,128.630005,8.959258,101.510002
"41",51.250263,21.700844,32.998447,38.047695,23.76,21.066687,137.370697,128.309998,8.966867,102.279999
"42",51.268368,21.026865,32.135159,37.216236,23.209999,21.182972,136.291382,128.830002,8.997315,102.199997
"43",51.041958,21.100922,32.08675,37.196281,23.219999,21.182972,136.101517,129.050003,9.004929,102.040001
